device	command	opcode	hex	ascii	description
MMPump508/	REC_SIZE_READ_PUMP_ID	10	0x0a	('\n')	??
MMPump508/	REC_SIZE_READ_FIRMWARE_VER	8	0x08	('\x08')	??
MMPump508/	REC_SIZE_READ_RTC	7	0x07	('\x07')	??
MMPump508/	REC_SIZE_READ_PUMP_ID	10	0x0a	('\n')	??
MMPump508/	REC_SIZE_READ_FIRMWARE_VER	8	0x08	('\x08')	??
MMPump508/	REC_SIZE_READ_RTC	7	0x07	('\x07')	??
MMPump508/	REC_SIZE_READ_TODAYS_TOTAL	4	0x04	('\x04')	??
MMPump508/	REC_SIZE_READ_TEMP_BASAL	4	0x04	('\x04')	??
MMPump508/	REC_SIZE_READ_CURR_SETTINGS1	28	0x1c	('\x1c')	??
MMPump508/	REC_SIZE_READ_CURR_SETTINGS2	26	0x1a	('\x1a')	??
MMPump508/	REC_SIZE_READ_CURR_SETTINGS3	4	0x04	('\x04')	??
MMPump508/	REC_SIZE_READ_CURR_SETTINGS4	2	0x02	('\x02')	??

MMPump508u/	CMD_SET_ACCESS_CODE	1	0x01	SOH	??
MMPump508/	CMD_READ_RTC	32	0x20	(' ')	??
MMPump508/	CMD_READ_PUMP_ID	33	0x21	('!')	??
MMPump508/	CMD_READ_BATTERY_STATUS	34	0x22	doublequote	??
MMPump508/	CMD_READ_REMAINING_INSULIN	35	0x23	#	??
MMPump???/	CMD_?????	36	0x24	('$')	??
MMPump508/	CMD_READ_FIRMWARE_VER	37	0x25	('%')	??
MMPump508/	CMD_READ_ERROR_STATUS	38	0x26	('&')	??
MMPump508/	CMD_READ_BOLUS_HISTORY	39	0x27	'	??
MMPump508/	CMD_READ_DAILY_TOTALS	40	0x28	('(')	??
MMPump508/	CMD_READ_PRIME_BOLUSES	41	0x29	(')')	??
MMPump508/	CMD_READ_ALARMS	42	0x2a	('*')	??
MMPump508/	CMD_READ_PROFILE_SETS	43	0x2b	('+')	??
MMPump508/	CMD_READ_USER_EVENTS	44	0x2c	(',')	??
MMPump508/	CMD_READ_REMOTE_CTRL_ID	46	0x2e	('.')	??
MMPump???/	CMD_????	47	0x2f	('/')	??
MMPump???/	CMD_????	48	0x30	('0')	??
MMPump???/	CMD_????	49	0x31	('1')	??
MMPump???/	CMD_????	50	0x31	('2')	??
MMPump???/	CMD_????	51	0x31	('3')	??
